"","max_shovel_i1","max_labial_i1","max_distal_c","max_metacone_m1","max_hypocone_m1","max_carabelli_m1","mand_deflect_m1","mand_proto_m1","mand_cusp5_m1","mand_cusp6_m1","mand_cusp7_m1"
"90",-0.067,-0.0264,-0.1204,-1.1936,-0.7332,-0.1471,-0.0274,-0.0723,-0.2207,-0.0521,-0.0583
"91",-0.1517,-0.0777,-0.1125,-1.1981,-0.7368,-0.1109,-0.0281,-0.0735,-0.2228,-0.0527,-0.0567
"92",-0.1531,-0.0786,-0.1525,-1.2025,-0.7404,-0.1219,0.0396000000000001,-0.0747,-0.2248,-0.0205,-0.0577
"93",-0.2396,-0.0796,-0.155,-0.0245,NA,-0.1038,NA,-0.0759,-0.2268,-0.0536,-0.0622000000000003
"94",0.0163,-0.0805,-0.136,-1.2112,-1.4859,-0.154,NA,NA,-0.2288,-0.0542,-0.0638000000000001
"95",-0.1573,-0.0814,-0.1373,-1.2155,-0.7473,-0.1159,0.00580000000000003,-0.0771,-0.4387,-0.0549,-0.0587
"96",-0.1588,-0.1322,-0.1273,-1.2197,-0.00260000000000005,-0.0975999999999999,NA,-0.0782,-0.0221,-0.0555,NA
"97",-0.1602,-0.1349,-0.1295,-1.2239,-0.7543,-0.1113,-0.0630999999999999,-0.0794,-0.2349,-0.0562,-0.0684
"98",-0.0741,-0.0836,-0.1423,-1.228,-0.7577,-0.1138,NA,-0.0806,-0.2368,-0.0568,-0.0596
"99",-0.2508,-0.1387,-0.1657,-1.232,-0.7611,-0.1164,NA,-0.0817,-0.2388,-0.0575,-0.0721000000000003
"100",-0.1645,-0.1414,-0.1442,-1.236,-0.7644,-0.1627,0.00520000000000009,-0.0829,-0.2408,-0.0581,-0.0604
"101",-0.0763,-0.1441,-0.1086,-0.0316,-0.7677,-0.1186,0.00419999999999998,-0.0841,-0.0265,-0.0588,-0.0709
"102",-0.1673,-0.1467,-0.1687,-0.0334,-0.7709,-0.1389,-0.0642999999999999,-0.0852,-0.2455,-0.0594,-0.0671
"103",-0.1687,-0.1494,-0.1711,-0.0351,-0.7742,-0.1676,-0.0653999999999999,-0.0863,-0.2474,-0.06,-0.0678
"104",-0.2613,-0.152,-0.1497,-1.2517,-0.00970000000000004,-0.1122,-0.0666,-0.0875,-0.2494,-0.0607,-0.0627
"105",-0.2638,-0.1546,-0.151,-1.2555,-0.0115000000000001,NA,-0.0677,NA,-0.2513,-0.0613,-0.0743
